species,ID,sex,weight,age_at _weiging,Novel_env_time _to stop1,Novel_env_time _to stop2,Novel_env_time _again1,Novel_env_time _again2,boldness1,boldness2,agg1,agg2,prey_reaction1,prey_reaction2,prey_attack1,prey_attack2,voracity1,voracity2,n_viable_eggsacs,lab_longevity
Zygiella_x_notata,1,1,0.0482,,0,0,12.5,29.72,1,1,25,30,0.5,0.2,149,1.69,148.5,1.49,6,
Zygiella_x_notata,2,1,0.0644,48,4.59,300,22.03,0,3,3,16,12,22,1,242,10.41,220,9.41,4,212
Zygiella_x_notata,3,1,0.0289,6,1,0,4.54,28.06,2,1,1,17,1,8,10.48,17.28,9.48,9.28,6,210
Zygiella_x_notata,4,1,0.0547,48,0,0,300,300,1,1,15,13,,,,,,,3,131
Zygiella_x_notata,6,2,0.0226,6,1,0,56.81,10.59,2.5,1,0,0,NA,NA,NA,NA,NA,NA,NA,136
Zygiella_x_notata,7,1,0.0387,6,2,2,36.94,4.22,2.5,2.5,32,31,18,1,22.1,13.19,4.1,12.19,6,229
Zygiella_x_notata,8,1,0.0374,29,2,2,10,4,2.5,2.5,7,4,0.5,0.5,3,3,2.5,2.5,5,252
Zygiella_x_notata,9,1,0.0526,25,0,0,30.32,6.4,1,1,42,20,,,,,,,3,127
Zygiella_x_notata,10,2,0.0266,25,0,0,4.71,48.44,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,189
Zygiella_x_notata,11,1,0.0456,25,0,0,8.53,17.5,1,1,4,12,2,3,5.56,10.1,3.56,7.1,1,179
Zygiella_x_notata,12,1,0.057,29,5.1,0,41.74,12.97,3,1,15,5,,,,,,,3,158
Zygiella_x_notata,13,1,0.0658,48,181,50,15.1,51.91,3,3,10,4,5,22.36,,37.25,180,14.89,0,171
Zygiella_x_notata,14,1,0.0405,,8,4,33.3,60.25,3,3,0,5,128,0.1,135,2.81,7,2.71,2,147
Zygiella_x_notata,15,1,0.0351,8,2.3,0,59.29,13.63,2.5,1,1,4,,,,,,,0,62
Zygiella_x_notata,16,1,0.0358,6,0,2.5,13.06,10.15,1,2.5,25,39,6,4.5,12,9.91,6,5.41,4,122
Zygiella_x_notata,17,1,0.0278,6,0,0,55.62,57.13,1,1,1,13,,3,,28,,25,3,136
Zygiella_x_notata,18,2,0.0278,49,0,0,19.72,20.68,1,1,9,37,NA,NA,NA,NA,NA,NA,NA,141
Zygiella_x_notata,19,2,0.0319,30,0,0,5.79,57.59,1,1,22,25,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,20,2,0.0375,33,3.78,2.02,43.13,178.41,3,3,88,74,NA,NA,NA,NA,NA,NA,NA,116
Zygiella_x_notata,21,2,0.037,20,11.62,2.1,13.38,14.63,3,3,17,39,NA,NA,NA,NA,NA,NA,NA,110
Zygiella_x_notata,22,2,0.0307,33,0,2.2,93.47,60.22,2,3,46,55,NA,NA,NA,NA,NA,NA,NA,121
Zygiella_x_notata,23,2,0.0287,40,48.09,229,9.53,42.68,3,3,62,55,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,24,2,0.0253,48,0,0,24.4,7.06,1,1,51,16,NA,NA,NA,NA,NA,NA,NA,244
Zygiella_x_notata,25,2,0.0294,32,0,0,71.69,196.35,1,1,31,51,NA,NA,NA,NA,NA,NA,NA,70
Zygiella_x_notata,26,2,0.017,8,0,2,7.19,30.16,1.5,2.5,45,52,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,27,1,0.0359,8,0,,47,,1,,1,0,0.1,9.7,2.1,12.9,2,3.2,5,240
Zygiella_x_notata,28,2,0.0243,32,0,0,5.5,3.2,1,1,16,3,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,29,2,0.0433,,0,0,12.8,22.77,2,2,45,29,NA,NA,NA,NA,NA,NA,NA,76
Zygiella_x_notata,30,2,0.0425,34,3.97,0,21.44,30.3,3,1,57,75,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,31,2,0.0302,32,1,0,9.72,17.41,2.5,1,60,39,NA,NA,NA,NA,NA,NA,NA,140
Zygiella_x_notata,32,1,0.0377,8,0,0,39.28,4.44,1,2,0,0,11,1.9,24.25,6.81,13.25,4.91,0,166
Zygiella_x_notata,34,1,0.0404,8,38.22,0,16.69,56.84,3,1,1,0,46,52,63.12,129,17.12,77,4,269
Zygiella_x_notata,35,2,0.0327,9,4.1,1,12.85,15.38,2.5,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,109
Zygiella_x_notata,36,2,0.0193,9,0,,27.35,,1,,48,25,NA,NA,NA,NA,NA,NA,NA,47
Zygiella_x_notata,37,1,0.0183,30,0,107,62.19,10.29,2,3,1,12,,,,,,,2,157
Zygiella_x_notata,38,2,0.0254,42,3.12,26.86,26.15,23.5,3,3,95,27,NA,NA,NA,NA,NA,NA,NA,142
Zygiella_x_notata,40,2,0.0198,32,80.2,0,106.41,5.97,3,1,18,14,NA,NA,NA,NA,NA,NA,NA,194
Zygiella_x_notata,41,2,0.0303,,0,0,42.44,14.58,1,1,20,49,NA,NA,NA,NA,NA,NA,NA,76
Zygiella_x_notata,42,2,0.0284,31,1.2,0,30.3,71.37,2.5,1,6,18,NA,NA,NA,NA,NA,NA,NA,69
Zygiella_x_notata,43,1,0.0283,8,21.3,2,5.56,11.43,3,3,1,3,15.9,,22.53,,6.63,,4,140
Zygiella_x_notata,44,1,0.0235,8,0,0,36.32,9.63,1,1,3,0,,,,,,,3,150
Zygiella_x_notata,45,2,0.029,35,300,116.26,0,10.47,3,3,18,49,NA,NA,NA,NA,NA,NA,NA,67
Zygiella_x_notata,46,1,0.0625,56,300,300,0,0,3,3,5,6,1,0.5,2.53,1,1.53,0.5,7,271
Zygiella_x_notata,47,2,0.0244,38,0,0,57.66,15.19,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,70
Zygiella_x_notata,48,2,0.0321,37,0,0,264.3,22.35,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,49,2,0.0301,35,0,0,39.84,55.84,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,224
Zygiella_x_notata,50,2,0.0247,,0,0,19.63,19.07,1,1,90,41,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,51,2,0.0295,35,0,0,36.25,42.75,1,1,33,73,NA,NA,NA,NA,NA,NA,NA,96
Zygiella_x_notata,52,1,0.0665,55,0,0,40.66,19.47,1,1,9,9,0.5,33.2,5.59,38.19,5.09,4.99,6,217
Zygiella_x_notata,53,1,0.0555,57,125,2,6.97,8,3,3,24,11,1.5,0.2,6,1,4.5,0.8,7,292
Zygiella_x_notata,55,1,0.0597,,48.9,0,7.93,7.65,3,1,1,2,27,6.3,57.72,11.13,30.72,4.83,8,285
Zygiella_x_notata,56,1,0.0757,22,0,0,129.93,300,1,1,25,2,17.69,0.8,48.78,3.12,31.09,2.32,4,164
Zygiella_x_notata,57,1,0.0613,22,0,0,29.44,8.97,1,1,16,21,,,,,,,0,90
Zygiella_x_notata,58,1,0.0719,22,300,0,0,13.09,3,1,31,17,,,,,,,3,149
Zygiella_x_notata,59,1,0.0329,22,172,2,29.6,7.59,3,3,2,2,1,1.68,4.57,4.87,3.57,3.19,5,235
Zygiella_x_notata,60,1,0.0426,22,92,0,8.25,13.59,3,1,1,0,,,,,,,7,282
Zygiella_x_notata,61,1,0.0346,22,300,1.5,0,11.72,3,3,4,2,90.8,1.6,116.18,3.81,25.38,2.21,1,225
Zygiella_x_notata,62,1,0.05,70,108.71,0,10.87,30.22,3,1,2,5,52,0.2,55.78,1,3.78,0.8,2,242
Zygiella_x_notata,63,1,0.1211,50,3.71,0,39.75,44.97,2.5,1,1,7,,,,,,,0,54
Zygiella_x_notata,64,2,,,198.14,0,6.66,16.88,3,1,9,18,NA,NA,NA,NA,NA,NA,NA,
Zygiella_x_notata,65,1,,,1.5,,6.19,,2.5,,1,3,27.5,3,31.75,6.59,4.25,3.59,6,280
