Round,ID,Dish,Clone,Morph,Age1stReprod,Treatment,LifetimeRS,Lifespan,MeanGrowthRate,SizeLast,Size1st,AgeSizeLast,AgeSize1st,BehavType
2,1,1,328,g,9,T,100,26,0.185578783,2.648,0.6,9,1,d
2,2,15,341,g,11,C,12,18,0.176953059,1.913,0.326,11,1,d
2,3,23,339,r,10,C,68,45,0.226376537,2.631,0.343,10,1,n
2,4,12,102,r,11,C,83,30,0.176372025,2.532,0.434,11,1,n
2,5,5,324,g,11,T,33,29,0.181338768,2.851,0.465,11,1,n
2,6,22,339,r,10,T,69,24,0.235627157,2.626,0.315,10,1,d
2,7,14,322,g,11,T,15,19,0.152340358,2.56,0.558,11,1,n
2,8,2,328,g,10,C,17,15,0.159602083,2.25,0.535,10,1,d
2,9,10,161,r,10,T,68,28,0.16600978,2.789,0.626,10,1,n
2,10,9,161,r,12,C,54,29,0.136317332,2.719,0.607,12,1,d
2,11,4,126,r,12,C,61,30,0.174380115,2.703,0.397,12,1,n
2,12,3,126,r,12,T,51,39,0.171895488,2.491,0.376,12,1,d
2,13,17,334,g,12,T,51,31,0.154234624,2.073,0.38,12,1,n
2,14,13,322,g,12,C,32,26,0.15654178,2.725,0.487,12,1,d
2,15,20,185,g,12,T,66,33,0.173004975,2.535,0.378,12,1,n
2,16,18,334,g,12,C,56,29,0.173047832,2.61,0.389,12,1,d
2,17,24,143,g,11,T,4,22,0.185475359,2.588,0.405,11,1,d
2,18,11,102,r,11,T,72,40,0.208069076,3.204,0.4,11,1,n
2,19,7,319,g,18,C,3,22,0.070955468,1.47,0.44,18,1,n
2,20,21,143,g,13,C,34,33,0.136183239,2.221,0.569,13,3,n
2,21,16,341,g,10,T,52,31,0.218692355,3.443,0.481,10,1,d
2,22,8,319,g,21,T,1,25,0.063249068,1.194,0.337,21,1,d
2,23,19,185,g,12,C,27,23,0.151646199,2.492,0.47,12,1,n
2,24,6,324,g,10,C,32,16,0.199350733,3.759,0.625,10,1,d
3,25,1,126,r,10,C,119,37,0.201268273,2.98,0.487,10,1,d
3,26,2,126,r,15,T,26,30,0.141672087,2.391,0.329,15,1,n
3,27,3,319,g,10,C,38,31,0.195056853,2.384,0.412,10,1,n
3,28,4,319,g,10,T,41,40,0.17859078,2.355,0.472,10,1,d
3,29,5,161,r,9,C,92,28,0.227733488,3.203,0.518,9,1,d
3,30,6,161,r,10,T,51,23,0.210972515,3.065,0.459,10,1,n
3,31,7,185,g,13,T,22,30,0.161859149,2.218,0.318,13,1,n
3,32,8,185,g,13,C,23,31,0.154284942,2.331,0.366,13,1,d
3,33,9,102,r,13,T,35,41,0.145311356,2.236,0.391,13,1,n
3,34,10,102,r,12,C,34,27,0.145373305,2.311,0.467,12,1,n
3,35,11,324,g,9,T,83,29,0.289698532,4.365,0.43,9,1,n
3,36,12,324,g,11,C,19,30,0.210113437,3.262,0.399,11,1,n
3,37,13,143,g,16,T,9,20,0.104353461,1.928,0.403,16,1,d
3,38,14,143,g,12,C,19,29,0.146757626,2.457,0.489,12,1,n
3,39,15,322,g,12,C,27,23,0.136997759,2.419,0.536,12,1,n
3,40,16,322,g,12,T,20,23,0.172869719,2.404,0.359,12,1,n
3,41,17,339,r,11,T,103,36,0.175754999,3.247,0.56,11,1,d
3,42,18,339,r,10,C,46,19,0.213813943,3.254,0.475,10,1,d
3,43,19,334,g,11,C,55,35,0.20953898,3.097,0.381,11,1,n
3,44,20,334,g,11,T,75,38,0.192958059,3.037,0.441,11,1,d
3,45,21,328,g,10,C,100,33,0.208804254,3.307,0.505,10,1,d
3,46,22,328,g,10,T,63,21,0.233505157,3.705,0.453,10,1,d
3,47,23,341,g,10,T,34,26,0.193365033,2.764,0.485,10,1,n
3,48,24,341,g,8,C,44,21,0.271483412,3.478,0.52,8,1,d
4,49,1,324,g,10,T,41,19,0.218795855,3.644,0.633,10,2,n
4,50,2,324,g,11,C,29,30,0.237688302,4.05,0.376,11,1,n
4,51,3,334,g,12,T,34,31,0.19342412,2.359,0.502,12,4,d
4,52,4,334,g,12,C,41,32,0.181499157,2.879,0.391,12,1,n
4,53,5,126,r,10,T,68,27,0.188141429,2.686,0.494,10,1,d
4,54,6,126,r,12,C,39,42,0.182292293,2.414,0.325,12,1,n
4,55,7,328,g,10,C,52,20,0.21309937,2.729,0.614,9,2,d
4,56,8,328,g,11,T,66,30,0.217163263,3.009,0.343,11,1,d
4,57,9,339,r,9,T,28,16,0.222064921,3.321,0.562,9,1,d
4,58,10,339,r,9,C,82,46,0.235039108,3.422,0.522,9,1,d
4,59,11,319,g,10,C,23,17,0.207615086,2.598,0.401,10,1,d
4,60,12,319,g,10,T,60,26,0.160095162,2.318,0.644,10,2,d
4,61,13,341,g,10,T,51,30,0.227643656,2.956,0.381,10,1,d
4,62,14,341,g,10,C,55,34,0.223014308,2.947,0.396,10,1,d
4,63,15,185,g,10,T,48,30,0.164237055,3.01,0.809,10,2,n
4,64,16,185,g,8,C,71,34,0.220572988,2.975,0.792,8,2,n
4,65,17,102,r,12,C,58,30,0.142702233,2.888,0.601,12,1,d
4,66,18,102,r,10,T,73,31,0.126384949,3.356,1.221,10,2,n
4,67,19,161,r,10,C,22,20,0.178592999,2.767,0.663,10,2,d
4,68,20,161,r,11,T,65,29,0.198539386,2.738,0.376,11,1,n
4,69,21,322,g,10,C,12,28,0.162372739,2.214,0.604,10,2,d
4,70,22,322,g,10,T,85,29,0.207967012,3.368,0.638,10,2,d
4,71,23,143,g,13,T,22,26,0.122934817,2.428,0.628,13,2,d
4,72,24,143,g,13,C,26,41,0.164605634,2.6,0.591,11,2,d
5,73,1,328,g,11,C,35,25,0.204749732,2.557,0.33,11,1,d
5,74,2,328,g,10,T,34,24,0.239904532,2.911,0.336,10,1,d
5,75,3,319,g,9,T,47,28,0.203778115,2.236,0.438,9,1,d
5,76,4,319,g,12,C,23,22,0.151814512,1.822,0.343,12,1,d
5,77,5,185,g,12,C,51,38,0.107362117,1.935,0.594,12,1,d
5,78,6,185,g,9,T,82,35,0.279427756,3.282,0.351,9,1,n
5,79,7,324,g,10,C,9,14,0.154878356,1.916,0.555,9,1,d
5,80,8,324,g,10,T,63,28,0.183608723,2.372,0.546,9,1,n
5,81,9,126,r,11,C,74,29,0.177144627,2.534,0.431,11,1,n
5,82,10,126,r,10,T,25,22,0.189143118,2.233,0.407,10,1,d
5,83,11,339,r,11,C,25,28,0.173896354,2.527,0.444,11,1,d
5,84,12,339,r,9,T,81,34,0.224563759,3.165,0.525,9,1,n
5,85,13,161,r,10,C,59,25,0.17673864,2.267,0.462,10,1,n
5,86,14,161,r,10,T,27,24,0.19509935,2.267,0.476,9,1,d
5,87,15,102,r,13,C,30,42,0.138072804,2.029,0.387,13,1,n
5,88,16,102,r,11,T,43,37,0.140730264,2.357,0.577,11,1,d
5,89,17,143,g,14,C,8,20,0.124475157,1.609,0.319,14,1,d
5,90,18,143,g,13,T,10,17,0.143462934,1.98,0.354,13,1,d
5,91,19,341,g,10,T,28,27,0.189606877,2.336,0.424,10,1,n
5,92,20,341,g,10,C,19,42,0.192980749,2.249,0.396,10,1,n
5,93,21,334,g,11,T,75,34,0.186781546,3.004,0.464,11,1,d
5,94,22,334,g,11,C,86,30,0.186540693,2.338,0.362,11,1,n
5,95,23,322,g,9,T,34,15,0.194148008,3.318,0.702,9,1,n
5,96,24,322,g,10,C,13,14,0.190208977,2.814,0.508,10,1,d
2,1,1,328,g,9,T,100,26,0.185578783,2.648,0.6,9,1,n
2,2,15,341,g,11,C,12,18,0.176953059,1.913,0.326,11,1,d
2,3,23,339,r,10,C,68,45,0.226376537,2.631,0.343,10,1,n
2,4,12,102,r,11,C,83,30,0.176372025,2.532,0.434,11,1,n
2,5,5,324,g,11,T,33,29,0.181338768,2.851,0.465,11,1,n
2,6,22,339,r,10,T,69,24,0.235627157,2.626,0.315,10,1,d
2,7,14,322,g,11,T,15,19,0.152340358,2.56,0.558,11,1,n
2,8,2,328,g,10,C,17,15,0.159602083,2.25,0.535,10,1,d
2,9,10,161,r,10,T,68,28,0.16600978,2.789,0.626,10,1,n
2,10,9,161,r,12,C,54,29,0.136317332,2.719,0.607,12,1,d
2,11,4,126,r,12,C,61,30,0.174380115,2.703,0.397,12,1,n
2,12,3,126,r,12,T,51,39,0.171895488,2.491,0.376,12,1,n
2,13,17,334,g,12,T,51,31,0.154234624,2.073,0.38,12,1,n
2,14,13,322,g,12,C,32,26,0.15654178,2.725,0.487,12,1,n
2,15,20,185,g,12,T,66,33,0.173004975,2.535,0.378,12,1,n
2,16,18,334,g,12,C,56,29,0.173047832,2.61,0.389,12,1,n
2,17,24,143,g,11,T,4,22,0.185475359,2.588,0.405,11,1,d
2,18,11,102,r,11,T,72,40,0.208069076,3.204,0.4,11,1,n
2,19,7,319,g,18,C,3,22,0.070955468,1.47,0.44,18,1,n
2,20,21,143,g,13,C,34,33,0.136183239,2.221,0.569,13,3,n
2,21,16,341,g,10,T,52,31,0.218692355,3.443,0.481,10,1,d
2,22,8,319,g,21,T,1,25,0.063249068,1.194,0.337,21,1,n
2,23,19,185,g,12,C,27,23,0.151646199,2.492,0.47,12,1,n
2,24,6,324,g,10,C,32,16,0.199350733,3.759,0.625,10,1,n
3,25,1,126,r,10,C,119,37,0.201268273,2.98,0.487,10,1,d
3,26,2,126,r,15,T,26,30,0.141672087,2.391,0.329,15,1,n
3,27,3,319,g,10,C,38,31,0.195056853,2.384,0.412,10,1,n
3,28,4,319,g,10,T,41,40,0.17859078,2.355,0.472,10,1,d
3,29,5,161,r,9,C,92,28,0.227733488,3.203,0.518,9,1,d
3,30,6,161,r,10,T,51,23,0.210972515,3.065,0.459,10,1,n
3,31,7,185,g,13,T,22,30,0.161859149,2.218,0.318,13,1,n
3,32,8,185,g,13,C,23,31,0.154284942,2.331,0.366,13,1,d
3,33,9,102,r,13,T,35,41,0.145311356,2.236,0.391,13,1,n
3,34,10,102,r,12,C,34,27,0.145373305,2.311,0.467,12,1,n
3,35,11,324,g,9,T,83,29,0.289698532,4.365,0.43,9,1,n
3,36,12,324,g,11,C,19,30,0.210113437,3.262,0.399,11,1,n
3,37,13,143,g,16,T,9,20,0.104353461,1.928,0.403,16,1,d
3,38,14,143,g,12,C,19,29,0.146757626,2.457,0.489,12,1,n
3,39,15,322,g,12,C,27,23,0.136997759,2.419,0.536,12,1,n
3,40,16,322,g,12,T,20,23,0.172869719,2.404,0.359,12,1,n
3,41,17,339,r,11,T,103,36,0.175754999,3.247,0.56,11,1,d
3,42,18,339,r,10,C,46,19,0.213813943,3.254,0.475,10,1,n
3,43,19,334,g,11,C,55,35,0.20953898,3.097,0.381,11,1,n
3,44,20,334,g,11,T,75,38,0.192958059,3.037,0.441,11,1,d
3,45,21,328,g,10,C,100,33,0.208804254,3.307,0.505,10,1,d
3,46,22,328,g,10,T,63,21,0.233505157,3.705,0.453,10,1,n
3,47,23,341,g,10,T,34,26,0.193365033,2.764,0.485,10,1,n
3,48,24,341,g,8,C,44,21,0.271483412,3.478,0.52,8,1,d
4,49,1,324,g,10,T,41,19,0.218795855,3.644,0.633,10,2,n
4,50,2,324,g,11,C,29,30,0.237688302,4.05,0.376,11,1,n
4,51,3,334,g,12,T,34,31,0.19342412,2.359,0.502,12,4,d
4,52,4,334,g,12,C,41,32,0.181499157,2.879,0.391,12,1,n
4,53,5,126,r,10,T,68,27,0.188141429,2.686,0.494,10,1,d
4,54,6,126,r,12,C,39,42,0.182292293,2.414,0.325,12,1,n
4,55,7,328,g,10,C,52,20,0.21309937,2.729,0.614,9,2,n
4,56,8,328,g,11,T,66,30,0.217163263,3.009,0.343,11,1,n
4,57,9,339,r,9,T,28,16,0.222064921,3.321,0.562,9,1,d
4,58,10,339,r,9,C,82,46,0.235039108,3.422,0.522,9,1,n
4,59,11,319,g,10,C,23,17,0.207615086,2.598,0.401,10,1,n
4,60,12,319,g,10,T,60,26,0.160095162,2.318,0.644,10,2,n
4,61,13,341,g,10,T,51,30,0.227643656,2.956,0.381,10,1,d
4,62,14,341,g,10,C,55,34,0.223014308,2.947,0.396,10,1,d
4,63,15,185,g,10,T,48,30,0.164237055,3.01,0.809,10,2,n
4,64,16,185,g,8,C,71,34,0.220572988,2.975,0.792,8,2,n
4,65,17,102,r,12,C,58,30,0.142702233,2.888,0.601,12,1,n
4,66,18,102,r,10,T,73,31,0.126384949,3.356,1.221,10,2,n
4,67,19,161,r,10,C,22,20,0.178592999,2.767,0.663,10,2,n
4,68,20,161,r,11,T,65,29,0.198539386,2.738,0.376,11,1,n
4,69,21,322,g,10,C,12,28,0.162372739,2.214,0.604,10,2,d
4,70,22,322,g,10,T,85,29,0.207967012,3.368,0.638,10,2,n
4,71,23,143,g,13,T,22,26,0.122934817,2.428,0.628,13,2,d
4,72,24,143,g,13,C,26,41,0.164605634,2.6,0.591,11,2,n
5,73,1,328,g,11,C,35,25,0.204749732,2.557,0.33,11,1,d
5,74,2,328,g,10,T,34,24,0.239904532,2.911,0.336,10,1,n
5,75,3,319,g,9,T,47,28,0.203778115,2.236,0.438,9,1,d
5,76,4,319,g,12,C,23,22,0.151814512,1.822,0.343,12,1,n
5,77,5,185,g,12,C,51,38,0.107362117,1.935,0.594,12,1,n
5,78,6,185,g,9,T,82,35,0.279427756,3.282,0.351,9,1,n
5,79,7,324,g,10,C,9,14,0.154878356,1.916,0.555,9,1,d
5,80,8,324,g,10,T,63,28,0.183608723,2.372,0.546,9,1,n
5,81,9,126,r,11,C,74,29,0.177144627,2.534,0.431,11,1,n
5,82,10,126,r,10,T,25,22,0.189143118,2.233,0.407,10,1,n
5,83,11,339,r,11,C,25,28,0.173896354,2.527,0.444,11,1,n
5,84,12,339,r,9,T,81,34,0.224563759,3.165,0.525,9,1,n
5,85,13,161,r,10,C,59,25,0.17673864,2.267,0.462,10,1,n
5,86,14,161,r,10,T,27,24,0.19509935,2.267,0.476,9,1,n
5,87,15,102,r,13,C,30,42,0.138072804,2.029,0.387,13,1,n
5,88,16,102,r,11,T,43,37,0.140730264,2.357,0.577,11,1,n
5,89,17,143,g,14,C,8,20,0.124475157,1.609,0.319,14,1,d
5,90,18,143,g,13,T,10,17,0.143462934,1.98,0.354,13,1,d
5,91,19,341,g,10,T,28,27,0.189606877,2.336,0.424,10,1,n
5,92,20,341,g,10,C,19,42,0.192980749,2.249,0.396,10,1,n
5,93,21,334,g,11,T,75,34,0.186781546,3.004,0.464,11,1,d
5,94,22,334,g,11,C,86,30,0.186540693,2.338,0.362,11,1,n
5,95,23,322,g,9,T,34,15,0.194148008,3.318,0.702,9,1,n
5,96,24,322,g,10,C,13,14,0.190208977,2.814,0.508,10,1,n
